<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.03.14	16:00:00	1.23577	1.23784	1.23471	1.23750	33890	0	1
2018.03.14	20:00:00	1.23753	1.23770	1.23649	1.23680	14081	0	1
2018.03.15	00:00:00	1.23678	1.23835	1.23647	1.23764	11995	0	1
2018.03.15	04:00:00	1.23765	1.23836	1.23714	1.23742	9901	0	1
2018.03.15	08:00:00	1.23741	1.23780	1.23518	1.23597	25448	0	1
2018.03.15	12:00:00	1.23596	1.23672	1.23220	1.23331	37307	0	1
2018.03.15	16:00:00	1.23331	1.23479	1.23111	1.23351	39508	0	1
2018.03.15	20:00:00	1.23350	1.23350	1.23003	1.23044	15505	0	1
2018.03.16	00:00:00	1.23046	1.23100	1.22950	1.23009	12194	0	1
2018.03.16	04:00:00	1.23009	1.23131	1.23003	1.23114	8795	0	1
2018.03.16	08:00:00	1.23113	1.23362	1.23065	1.23230	20599	0	1
2018.03.16	12:00:00	1.23225	1.23314	1.22797	1.22840	31758	0	1
2018.03.16	16:00:00	1.22839	1.22952	1.22600	1.22891	30493	0	1
2018.03.16	20:00:00	1.22890	1.22934	1.22832	1.22889	6492	0	1
2018.03.19	00:00:00	1.22872	1.22919	1.22651	1.22691	9308	0	1
2018.03.19	04:00:00	1.22691	1.22730	1.22580	1.22614	7338	0	1
2018.03.19	08:00:00	1.22614	1.22888	1.22612	1.22822	19407	0	1
2018.03.19	12:00:00	1.22823	1.23255	1.22760	1.23143	41588	0	1
2018.03.19	16:00:00	1.23144	1.23495	1.23080	1.23480	27468	0	1
2018.03.19	20:00:00	1.23480	1.23588	1.23331	1.23341	12397	0	1
2018.03.20	00:00:00	1.23341	1.23506	1.23323	1.23461	10242	0	1
2018.03.20	04:00:00	1.23462	1.23491	1.23343	1.23361	7290	0	1
2018.03.20	08:00:00	1.23361	1.23547	1.23128	1.23165	25347	0	1
2018.03.20	12:00:00	1.23164	1.23165	1.22630	1.22706	30690	0	1
2018.03.20	16:00:00	1.22707	1.22867	1.22454	1.22616	29658	0	1
2018.03.20	20:00:00	1.22615	1.22627	1.22396	1.22435	8646	0	1
2018.03.21	00:00:00	1.22435	1.22601	1.22417	1.22572	6814	0	1
2018.03.21	04:00:00	1.22572	1.22666	1.22521	1.22621	6322	0	1
2018.03.21	08:00:00	1.22621	1.22906	1.22608	1.22787	20592	0	1
2018.03.21	12:00:00	1.22786	1.22957	1.22644	1.22891	30707	0	1
